Fylkenummer;Fylkenavn;Kommunenummer;Kommunenavn;Stemmekretsnummer;Stemmekretsnavn;Partikode;Partinavn;Oppslutning prosentvis;Antall stemmeberettigede;Antall valgtingstemmer totalt;Antall stemmer parti
03;Oslo;0301;Oslo;0106;Fyrstikkalleen skole;PIR;Piratpartiet;0,04529;8368;2218;1
03;Oslo;0301;Oslo;0106;Fyrstikkalleen skole;PP;Pensjonistpartiet;0,22645;8368;2218;5
03;Oslo;0301;Oslo;0106;Fyrstikkalleen skole;SAMFS;Samfunnspartiet;0,0;8368;2218;0
03;Oslo;0301;Oslo;0106;Fyrstikkalleen skole;BLANKE;Blanke;0,4529;8368;2218;10
03;Oslo;0301;Oslo;0106;Fyrstikkalleen skole;FI;Feministisk Initiativ;0,0;8368;2218;0
03;Oslo;0301;Oslo;0106;Fyrstikkalleen skole;Andre;Andre;1,13225;8368;2218;25
03;Oslo;0301;Oslo;0106;Fyrstikkalleen skole;Andre2;Andre2;0,0;8368;2218;0
03;Oslo;0301;Oslo;1001;Rødtvet skole;A;Arbeiderpartiet;39,18712;2682;1306;511
03;Oslo;0301;Oslo;1001;Rødtvet skole;SV;Sosialistisk Venstreparti;7,66871;2682;1306;100
03;Oslo;0301;Oslo;1001;Rødtvet skole;RØDT;Rødt;8,12883;2682;1306;106
03;Oslo;0301;Oslo;1001;Rødtvet skole;SP;Senterpartiet;2,53067;2682;1306;33
03;Oslo;0301;Oslo;1001;Rødtvet skole;KRF;Kristelig Folkeparti;2,07055;2682;1306;27
03;Oslo;0301;Oslo;1001;Rødtvet skole;MDG;Miljøpartiet De Grønne;2,83742;2682;1306;37
03;Oslo;0301;Oslo;1001;Rødtvet skole;V;Venstre;3,75767;2682;1306;49
03;Oslo;0301;Oslo;1001;Rødtvet skole;H;Høyre;18,02147;2682;1306;235
03;Oslo;0301;Oslo;1001;Rødtvet skole;FRP;Fremskrittspartiet;13,49693;2682;1306;176
03;Oslo;0301;Oslo;1001;Rødtvet skole;ALLI;Alliansen;0,15337;2682;1306;2
03;Oslo;0301;Oslo;1001;Rødtvet skole;DEMN;Demokratene i Norge;0,15337;2682;1306;2
03;Oslo;0301;Oslo;1001;Rødtvet skole;HELSE;Helsepartiet;0,46012;2682;1306;6
03;Oslo;0301;Oslo;1001;Rødtvet skole;KRISTNE;Partiet De Kristne;0,07669;2682;1306;1
03;Oslo;0301;Oslo;1001;Rødtvet skole;LIBS;Liberalistene;0,0;2682;1306;0
03;Oslo;0301;Oslo;1001;Rødtvet skole;NKP;Norges Kommunistiske Parti;0,07669;2682;1306;1
03;Oslo;0301;Oslo;1001;Rødtvet skole;PIR;Piratpartiet;0,38344;2682;1306;5
03;Oslo;0301;Oslo;1001;Rødtvet skole;PP;Pensjonistpartiet;0,84356;2682;1306;11
03;Oslo;0301;Oslo;1001;Rødtvet skole;SAMFS;Samfunnspartiet;0,07669;2682;1306;1
03;Oslo;0301;Oslo;1001;Rødtvet skole;BLANKE;Blanke;0,15337;2682;1306;2
03;Oslo;0301;Oslo;1001;Rødtvet skole;FI;Feministisk Initiativ;0,07669;2682;1306;1
03;Oslo;0301;Oslo;1001;Rødtvet skole;Andre;Andre;2,30061;2682;1306;30
03;Oslo;0301;Oslo;1001;Rødtvet skole;Andre2;Andre2;0,0;2682;1306;0
03;Oslo;0301;Oslo;1002;Nordtvet skole;A;Arbeiderpartiet;44,59883;4992;2254;995
03;Oslo;0301;Oslo;1002;Nordtvet skole;SV;Sosialistisk Venstreparti;8,33707;4992;2254;186
03;Oslo;0301;Oslo;1002;Nordtvet skole;RØDT;Rødt;5,87181;4992;2254;131
03;Oslo;0301;Oslo;1002;Nordtvet skole;SP;Senterpartiet;2,28597;4992;2254;51
03;Oslo;0301;Oslo;1002;Nordtvet skole;KRF;Kristelig Folkeparti;2,28597;4992;2254;51
03;Oslo;0301;Oslo;1002;Nordtvet skole;MDG;Miljøpartiet De Grønne;1,7481;4992;2254;39
03;Oslo;0301;Oslo;1002;Nordtvet skole;V;Venstre;3,94442;4992;2254;88
03;Oslo;0301;Oslo;1002;Nordtvet skole;H;Høyre;16,53967;4992;2254;369
03;Oslo;0301;Oslo;1002;Nordtvet skole;FRP;Fremskrittspartiet;12,59525;4992;2254;281
03;Oslo;0301;Oslo;1002;Nordtvet skole;ALLI;Alliansen;0,13447;4992;2254;3
03;Oslo;0301;Oslo;1002;Nordtvet skole;DEMN;Demokratene i Norge;0,08965;4992;2254;2
03;Oslo;0301;Oslo;1002;Nordtvet skole;HELSE;Helsepartiet;0,44823;4992;2254;10
03;Oslo;0301;Oslo;1002;Nordtvet skole;KRISTNE;Partiet De Kristne;0,0;4992;2254;0
03;Oslo;0301;Oslo;1002;Nordtvet skole;LIBS;Liberalistene;0,26894;4992;2254;6
03;Oslo;0301;Oslo;1002;Nordtvet skole;NKP;Norges Kommunistiske Parti;0,04482;4992;2254;1
03;Oslo;0301;Oslo;1002;Nordtvet skole;PIR;Piratpartiet;0,04482;4992;2254;1
03;Oslo;0301;Oslo;1002;Nordtvet skole;PP;Pensjonistpartiet;0,71717;4992;2254;16
03;Oslo;0301;Oslo;1002;Nordtvet skole;SAMFS;Samfunnspartiet;0,0;4992;2254;0
03;Oslo;0301;Oslo;1002;Nordtvet skole;BLANKE;Blanke;1,03093;4992;2254;23
